Seed,CUE_1,CUE_2,CUE_3,Sim_3vs1,Sim_3vs2,Dominant_Community,Total_Abundance_1,Total_Abundance_2
50,-1.5148556613166616e-09,1.6480446924591726e-10,-4.1540477148531444e-09,0.8508157942312359,0.0700735987691411,Community 1,104.83700241485035,18.42588109149674
51,-3.235850977055389e-09,-2.5430291561918913e-09,-7.173015104456341e-09,0.18109373538415596,0.7818455946234957,Community 2,23.38479919486348,99.86733871099199
52,-2.214381228632946e-09,-2.6919591758893246e-09,-6.177067609793994e-09,0.3002560557267907,0.6907433606873684,Community 2,38.20875558237466,85.12967376893228
53,-4.124683021055591e-10,-6.851060969178194e-10,-9.015442623572745e-10,0.2045123226381209,0.7958886796844572,Community 2,25.155369364088493,97.95757903195332
54,-1.8738639897978017e-09,3.602818748940482e-09,-3.468667146384451e-09,0.3838525100330764,0.6169777594360351,Community 2,47.1961629301049,75.91752013396858
55,-1.1857753349020502e-08,-1.3174418656895972e-09,-1.9930036313749143e-09,0.28819780903529346,0.7121685150985425,Community 2,35.484171598913036,87.74549966429959
56,-1.172402711188404e-09,-7.14968978925099e-10,-3.58595859810136e-08,0.31226294326518467,0.6888079360968384,Community 2,38.331869067808746,84.62366773942483
57,-1.1389587311325632e-08,4.5550165309501697e-10,-2.9777460437308167e-09,0.7131208132345659,0.2876245792522353,Community 1,87.96628153634319,35.453401141666546
58,-1.4460573530994677e-09,-8.108164095678123e-09,1.602592304567993e-09,0.5811091032366749,0.32959719928982767,Community 1,72.16701215918339,50.94064065206289
59,-1.92583404008183e-09,-1.5159752491704316e-09,-1.2418309128822879e-09,0.6284645121630639,0.3668186558427545,Community 1,77.35331684935828,45.79898241832794
60,-1.76177247653462e-11,-6.047121022945272e-09,-8.951387967627635e-09,0.3071092255958383,0.6646922836008747,Community 2,41.415029726315,81.93534133648224
61,-2.599442489491094e-09,-1.1167222402248336e-09,-1.013315237277531e-09,0.439873973476802,0.5496388703635471,Community 2,54.07124772904599,68.93475664014684
62,-1.0317085716328361e-09,-2.366603803362069e-09,-7.672453122868206e-10,0.629910549015311,0.3707360071875885,Community 1,77.59091504704594,45.63326654479765
63,-7.928961359681966e-10,-7.090676706658874e-10,-4.623253477122473e-10,0.37285436232314784,0.5620555341166046,Community 2,49.77476256618054,73.33478420795888
64,-4.386021147803158e-10,4.6047990327483024e-10,-1.7642342690721538e-09,3.8447490382509386e-05,0.9995100571476331,Community 2,0.004736503184961953,123.50116386191189
65,-5.286217674608283e-10,-1.7099861584645465e-09,-4.3304254555054846e-11,0.6420375487751433,0.32206844625540165,Community 1,83.56093590167059,39.64910005853891
66,-4.265081631474297e-10,-1.4031228765007167e-09,-8.888406491105601e-10,0.6578055009398234,0.33360829004813286,Community 1,81.1404543034026,42.255058436826374
67,-3.143848697804381e-10,-1.699606830214863e-09,-2.632989640294058e-09,0.37490403186426746,0.625562564389258,Community 2,46.0241782277686,76.82625166559828
68,-1.00542360505095e-09,-2.120573027376275e-09,-1.5774967963242389e-09,0.44733605600731363,0.5534311284422494,Community 2,55.078905424711124,68.15573267122343
69,-6.749548951110265e-10,3.516073138819507e-10,1.037833795734308e-08,0.35644616465726386,0.5927940036246455,Community 2,50.285445777842014,73.11927579625655
70,-1.2234235191736642e-09,-1.7245925299797647e-09,-1.2843750012084357e-09,0.3590898696338455,0.6413016952776303,Community 2,44.24225009364489,79.1075936438969
71,-8.684506904097372e-10,-8.966184401095843e-10,-1.0939148351594603e-09,0.365407358390345,0.6350348931976184,Community 2,44.968370371282624,78.17670734244099
72,-1.8829340618207624e-09,-7.901034617489733e-10,-9.965806071698275e-10,0.2801753111091516,0.6728806374314243,Community 2,38.01972343994364,85.27214021497568
73,-1.3658680903070808e-09,1.5889362056365566e-10,-1.1362913073241376e-10,0.2603882528955894,0.7241070302158903,Community 2,32.07175637116371,91.19931081897296
74,-1.2699924298820277e-09,-2.939955744247358e-09,-1.1724384577951338e-09,0.5587704433344324,0.40884082937579824,Community 1,72.92126451177435,50.36319063636543
75,-7.881531340299423e-10,-8.632716855541353e-09,-2.6320674632177e-09,0.5341559544356506,0.44230787777213953,Community 1,65.68670803632153,57.37031166086015
76,-9.98345770081093e-10,-1.2386841976974855e-09,-1.2407242676698662e-09,0.27965406140958005,0.7206271328146292,Community 2,34.40362735083994,88.67514450179883
77,-3.674642526359998e-09,-3.750546408460834e-10,-9.882967487213477e-10,0.6756476220711681,0.2943716094861597,Community 1,87.05018140918808,36.26766740675854
78,-9.33175084072715e-10,-2.8415737819922066e-10,-1.5495133778037942e-09,0.5278786040456575,0.45147032507577756,Community 1,64.89755347019364,58.11183902389247
79,-6.501568276997792e-10,5.89236465255009e-10,-8.255761435180297e-10,0.5186978377127947,0.4802227740052428,Community 1,63.759670399951816,59.20906116886993
80,-1.2701632809706408e-09,2.2987331327368847e-10,-6.536109037070433e-10,0.47834746286503593,0.47818443594280546,Community 1,64.35150581224586,58.896077737752655
81,-3.702203593631339e-10,-1.634295783625228e-09,-3.3734509062433455e-09,0.5444741240767375,0.44391760645747924,Community 1,68.49568759829833,54.60467243829249
82,-3.638989258422598e-11,7.982668770060726e-11,-4.802423091640891e-10,0.35594004127952306,0.6230226173824722,Community 2,43.78325736925379,79.35965327946863
83,-2.3447256331983966e-09,-1.3483200618851554e-10,-2.580097919034625e-09,0.9887533834434574,0.011014080307496621,Community 1,121.83102446509986,1.354321863203435
84,-1.158785349665281e-09,-1.2757418634490876e-09,-1.3642826350037006e-09,0.7413353478553775,0.2592005229883475,Community 1,91.43157604134262,31.932206874796673
85,-1.6781885525158358e-09,-5.852068949847163e-10,7.426190268248337e-11,0.5265720560329854,0.4739992344545845,Community 1,64.80197870345481,58.32374578298633
86,-3.3822868039959554e-09,-1.8833513922262548e-09,-6.224916734817363e-10,0.4743100411739193,0.44241736572092605,Community 1,68.80170090665627,54.53932885801865
87,-5.422126942622863e-10,-7.789912286594707e-10,-7.849386962156904e-10,0.5387406480949728,0.44920725879209034,Community 1,67.86224303815355,55.279556924925714
