Seed,DilutionRate,Species_ID,CUE,C_final
50,0.001,1,0.1073532946082146,1.455612474178841e-17
50,0.001,2,0.28129134659897503,47.5138577538326
50,0.001,3,0.2017767565045837,3.359720035209441e-07
50,0.001,4,0.051563145585901506,1.5055031450351702e-24
50,0.001,5,0.24741160412457655,0.17291538087241584
50,0.001,6,0.18054678104931474,1.1479485276392555e-08
50,0.001,7,0.1584415263831687,8.549666029615976e-13
50,0.001,8,0.14024442080951063,2.5310206786330712e-14
50,0.001,9,0.151403105593779,4.630673359957197e-13
50,0.001,10,0.22494035938126472,7.678130844440918e-05
50,0.001,11,0.12825249355194593,3.153293361807096e-18
50,0.001,12,0.21732978076093443,0.0008668381432942431
50,0.001,13,0.029346644360886548,4.040497876954896e-26
50,0.001,14,0.22480669489545216,0.006876018873581293
50,0.001,15,0.12690172314163406,5.995563322355061e-16
50,0.001,16,0.14775539897815254,1.7269338493728074e-14
50,0.001,17,0.18058155051124794,2.7884960316121158e-11
50,0.001,18,0.17582478328818082,3.655670275387701e-11
50,0.001,19,0.18078793240527619,1.917183742435458e-10
50,0.001,20,0.16342870999632758,7.382183690706318e-15
50,0.001,21,0.047273037097489284,1.4047467550518656e-23
50,0.001,22,0.19231585546348498,3.787802549550616e-08
50,0.001,23,0.22686576715559315,0.0009682258809786378
50,0.001,24,0.19613171830758067,2.346530608400901e-07
50,0.001,25,0.20662388997214476,6.228486520154909e-06
50,0.001,26,0.035825346339751166,4.324543135908002e-24
50,0.001,27,0.11453091037152893,1.976869562841452e-16
50,0.001,28,0.09734397980345565,1.6145495774254406e-19
50,0.001,29,0.14302801751055724,6.17914792478633e-15
50,0.001,30,0.17397661848602497,8.971088738966635e-11
50,0.001,31,0.13543408895872613,9.333312803405134e-17
50,0.001,32,0.1543017657267469,3.581355757950669e-15
50,0.001,33,0.2055528288777723,1.026791364213331e-06
50,0.001,34,0.18082915455646245,3.9980280966657023e-10
50,0.001,35,0.13592837389563675,9.687550361606769e-17
50,0.001,36,0.16655705870820287,4.008840340172403e-12
50,0.001,37,0.1330579368381576,2.649306609996088e-17
