Seed,Overlap,CUE1,CUE2,CUE3,Num_Survivors1,Num_Survivors2,Num_Survivors3,Competition1,Competition2,Competition3,Facilitation1,Facilitation2,Facilitation3,Depletion1,Depletion2,Depletion3,Total_Abundance_1,Total_Abundance_2,Total_Abundance_3,Dominant_Community,Similarity_3vs1,Similarity_3vs2
3355800716,0.25,0.4395874159630099,0.4437543067593413,0.43985575162583956,10,12,22,0.7523344330459178,0.7484535505751778,0.4638680989045581,0.05046999086759801,0.04984465805962374,0.08828389319279513,23.087254278372214,23.094082013353077,42.50846933864932,123.04949249885428,123.03024219306221,235.64157983737607,Community2,0.41634992903211043,0.42849996055514494
3355800716,0.5,0.44320009459846993,0.4472298867678551,0.4434316317471422,9,8,12,0.7464041194478124,0.7533254860988864,0.5620351300921976,0.05008574790885541,0.050221744373412515,0.07521566551198558,22.886559890840918,22.867830287342567,37.398844781067275,123.16181009388346,123.19730654839123,194.16281995106843,Community2,0.5488237612042798,0.5726036486353491
3355800716,0.75,0.44206303028842014,0.4389194739556643,0.43952214928642364,10,12,14,0.742629115842412,0.7514769036473067,0.65175056519495,0.04979534173061567,0.04997962777188079,0.06283741650951104,22.9560491878369,23.151952125188927,31.382513828982713,123.0873208749391,123.00600521146653,158.5976094661272,Community2,0.41350018709461367,0.4511086701998993
3381954708,0.25,0.44924907624699645,0.4548270536290772,0.4529202363546141,9,8,14,0.7567500830974829,0.747436627618571,0.46644979283294336,0.0500190947712911,0.050052116900560384,0.08805720440325798,23.028644647922576,23.027278740266905,43.07025293824647,123.07886594135985,123.09276258527562,235.39445704017055,Community1,0.5349198314019279,0.45849317664422573
3381954708,0.5,0.44643821978911574,0.4441818509587311,0.44504438073236907,12,14,13,0.7541560090325813,0.748852047504892,0.5631094964545779,0.05007263100427979,0.04995812939500041,0.0749896557479746,22.857393392346694,23.03471132897275,36.96508022520781,123.17289679921545,123.07171850372731,194.31819806230908,Community1,0.47845419423720503,0.4453054063741688
3381954708,0.75,0.4405680423414282,0.4437141839074154,0.44286898602400554,11,11,14,0.7527271667028341,0.7566686123928076,0.6582047528670086,0.050329438647905136,0.05012793822485786,0.06325314071587025,23.137382183357467,22.766905218128198,31.346206570351736,123.00419463128557,123.23678086470433,158.67200833027619,Community2,0.4870527100478881,0.4870360140367236
3069049109,0.25,0.4417572191363665,0.43923766463866903,0.4400133453959979,12,13,19,0.7467436895912241,0.7530372172097752,0.46292509274265253,0.05015319364309396,0.050151014068551866,0.08833795707674236,22.895554770038956,23.040849094155753,42.02714493483164,123.14280883214208,123.07955462062638,235.91777737616886,Community2,0.3796709293005407,0.4291933455957715
3069049109,0.5,0.45005455143689777,0.43501237189155467,0.4453986198132341,10,15,15,0.75349139029441,0.7428178115217554,0.5583379076321425,0.050047643002881566,0.049934997658795985,0.07502512326557538,22.932550019507854,23.378663978788474,36.67553385276114,123.11706844674418,122.98915017736473,194.3864703845532,Community1,0.5476630553965596,0.43604836030588334
3069049109,0.75,0.43161529902634527,0.4394525032490315,0.43619278697742825,14,9,21,0.7465015300111629,0.7576221526157508,0.6544737940834355,0.049513688754556744,0.05010304727901223,0.06276892028332898,23.650400821316094,22.971575171484115,31.84426880984763,122.78727198609712,123.16526840246087,158.4770036293138,Community2,0.3957121797636364,0.5510417792429589
3580582526,0.25,0.4442412272200105,0.4362599457642471,0.44096478271221556,8,11,15,0.7451318135272048,0.7530328956076069,0.4603437143921639,0.04953779124832476,0.05028814424362332,0.0879082327514881,23.361239347468853,23.282606475431994,42.69017599611335,123.03435123408944,122.99748133580273,235.56639008362836,Community1,0.45826834329398025,0.5118162999116602
