b,N_modules,Richness1,Richness2,Richness3,C_feed1,C_feed2,C_feed3,CUE1,CUE2,CUE3,Competition1,Competition2,Competition3
0.1,50,24,17,26,0.5075911292734004,0.4750715296873943,0.5563630099651596,0.599896844203415,0.609535555128515,0.6089014439492393,0.031327270963558335,0.031101693600138952,0.03126803396521412
0.11800000000000001,49,20,14,32,0.16120409873301433,0.15306429227899573,0.1697236793379951,0.5905460251988064,0.5955086092864881,0.6080290782932768,0.0316989283750032,0.029909478489362748,0.030836030646282334
0.136,49,16,18,34,0.16445127528616824,0.16137362953794518,0.1590274070202919,0.5952894101329161,0.598971577803094,0.6064457368139391,0.030927339880930427,0.03051247996316595,0.030811309588095467
0.15400000000000003,49,18,16,20,0.1538671761769795,0.15333151715368826,0.15229102099834735,0.6087774754458968,0.6074266578750042,0.6131691909285777,0.03338799520229777,0.031567704096834306,0.032544629000868304
0.17200000000000001,49,14,17,30,0.16462770689148962,0.17339545067544712,0.15741944512061662,0.6180090886546907,0.6217150871641589,0.6261993006389033,0.03406486187772431,0.030854416166360494,0.03233354719568754
0.19,48,17,18,21,0.2285129675709841,0.21240311721517519,0.2131746882296867,0.6197258726905793,0.6246821536419461,0.6261602801493484,0.028897643529437148,0.03099939472222088,0.029959721042907367
0.20800000000000002,48,12,10,22,0.21644276635327225,0.20550701101840418,0.21653795343683266,0.6300395329996115,0.6284780985188,0.6372604377482337,0.030074941455759965,0.03116737893971264,0.030616593486457965
0.226,47,17,20,27,0.24205620297863498,0.24060323573579864,0.24647648396367094,0.635544146279924,0.634806820395021,0.6387103201995729,0.032070634064673274,0.031808627501509076,0.0319732246134709
0.24400000000000002,47,18,16,20,0.24501442452906488,0.2556451022162658,0.24248990799697195,0.6360379660899611,0.6368241182894536,0.6386477823245369,0.030032065077240745,0.03180515009206934,0.030927078763773964
0.262,47,15,18,18,0.2592811106545528,0.25924181014339476,0.2596054881030713,0.6449346178735075,0.6399405800695138,0.6519507205813856,0.0318398405681595,0.031355360822512425,0.03156647790454203
