Community,Species,Status,CUE,C_final
2,Sp15,Extinction,0.1462818974243966,5.424770026024041e-07
2,Sp16,Survival,0.2201752419324232,4.608318233113162
2,Sp17,Extinction,0.06605167495191837,1.771545987786767e-10
2,Sp18,Survival,0.1774776265692664,0.0031506240963571413
2,Sp19,Survival,0.14768461349518458,1.2115040955126147e-05
2,Sp20,Survival,0.21873267580427697,2.878019726343131
2,Sp21,Survival,0.15044597126011144,2.442190665757634e-05
2,Sp22,Extinction,0.03636770287464901,3.065676617459862e-11
2,Sp23,Survival,0.18211032683382325,0.040091854806828205
2,Sp24,Survival,0.15793165497451697,1.7137869853191056e-05
2,Sp25,Survival,0.16725351290969231,0.005968998562490823
2,Sp26,Extinction,0.11084068062778896,5.477640044076347e-08
2,Sp27,Extinction,0.11025570951956068,4.173153319343316e-07
2,Sp28,Survival,0.16785118374585584,0.00038950147399141995
2,Sp29,Survival,0.1800210724926639,0.0036162961145767033
2,Sp30,Extinction,0.11456063582509235,3.2824557114608963e-06
2,Sp31,Survival,0.1943805738005564,0.00987771667554632
2,Sp32,Survival,0.18892986183579058,0.001753002608507724
2,Sp33,Extinction,0.09788991903864035,8.812563885794759e-06
2,Sp34,Survival,0.16021839217143932,0.00024269907204814268
2,Sp35,Survival,0.23128568786678577,0.9062284208480434
2,Sp36,Survival,0.19382619152971506,0.18946657374214007
2,Sp37,Extinction,0.06848324459409699,9.006196786716463e-09
2,Sp38,Survival,0.17970664361542926,0.002259473446124584
2,Sp39,Extinction,0.04030412517122766,1.59780843665697e-11
2,Sp40,Extinction,0.13764362163028615,4.167172844196752e-06
2,Sp41,Extinction,0.14318918556591556,1.1151062061118183e-06
2,Sp42,Survival,0.1547566919573617,0.0004277077090127027
2,Sp43,Survival,0.16982031531405964,0.0019179310987630172
2,Sp44,Survival,0.11518261334236007,1.8604164217610345e-05
2,Sp45,Survival,0.20266009945075666,2.166804510579206
2,Sp46,Survival,0.19735403927625625,0.26772056910532527
2,Sp47,Survival,0.1492054750664192,0.00029141408543261957
2,Sp48,Survival,0.18709530491829668,0.002886386987589679
2,Sp49,Extinction,0.07315004739322988,1.1142072214962883e-10
2,Sp50,Survival,0.14794811923615864,0.0003207765453917398
2,Sp51,Extinction,0.1423082851947605,6.249046221541633e-07
2,Sp52,Survival,0.18301243637504958,0.011050103528947341
2,Sp53,Extinction,0.0656888874936516,2.523101978707082e-09
2,Sp54,Survival,0.1745622144858576,0.007368206434742823
2,Sp55,Extinction,0.08120739929657761,2.3549931252243456e-09
2,Sp56,Survival,0.2411703035920662,9.349766324315954
2,Sp57,Survival,0.17514462805071368,0.053767691516339956
2,Sp58,Extinction,0.11060381664940915,2.7909881357288124e-07
2,Sp59,Extinction,0.13669209394023374,6.372132195218646e-06
2,Sp60,Extinction,0.1299303922653894,9.584285548699368e-06
2,Sp61,Survival,0.15783675445414064,0.0001899356471449927
2,Sp62,Survival,0.12447216459285732,1.5240763053727602e-05
2,Sp63,Survival,0.24408820810664944,19.518193591279786
