Seed,Community CUE 1,Community CUE 2,Community CUE 3,Total Abundance 1,Total Abundance 2,Dominant Community
50,0.23856119822725627,0.25826820020260555,0.5632583603763758,33.31508790062059,74.29668743323242,Community 2
51,0.2273232212332304,0.2570704742686511,0.5629718416330198,21.20188518828187,86.3951290115521,Community 2
52,0.26056378372590355,0.2724360128499555,0.5626856490982084,35.077530353775366,72.91134799290356,Community 2
53,0.2401006067719757,0.2547563701279197,0.5559825578666483,30.797118772594498,76.91112579736003,Community 2
54,0.2526143174220813,0.23964396750761283,0.5591678508551589,57.26744426302978,50.18408061319971,Community 1
55,0.25398952922403656,0.22956466406919793,0.5613986940843909,77.40868756240477,29.9313554977331,Community 1
56,0.26735264539211273,0.23373843484367807,0.5647751867927527,91.8506683689906,15.861229440481221,Community 1
57,0.24343805511682087,0.25548904778516973,0.5586329400147291,37.47044126835429,70.18889756082454,Community 2
58,0.26709104204315776,0.2578525551549492,0.5622738176093637,53.077390915779816,54.602186288294206,Community 2
59,0.2447809214338831,0.26054387259827944,0.5559517985960433,26.6676535465085,81.118577385211,Community 2
60,0.24608095186984066,0.2440302066042158,0.5557910072369522,58.77674018092354,48.6515314452503,Community 1
61,0.25854780091587953,0.2323886904907215,0.5609065642252339,84.91718126703903,22.658763388919706,Community 1
62,0.2559149075686587,0.2502379342985433,0.5565110325903384,56.92859653948946,50.53113196532765,Community 1
63,0.2606236333341083,0.2635688888840561,0.5647548607760638,41.18304950468119,66.59478416552025,Community 2
64,0.22980433630705288,0.27368625463111457,0.5666298711266006,20.07922344584253,87.6126535431707,Community 2
65,0.2465204567993008,0.25221272473674644,0.5695879732261496,49.907283228790654,57.67239299874298,Community 2
66,0.24922973260175854,0.262203900891832,0.5592117232539726,35.50683944466194,72.26413278595001,Community 2
67,0.25092914170287195,0.27549831163318556,0.5599912747704261,17.518174004977098,90.32728195241856,Community 2
68,0.25446512313049025,0.24674502303149443,0.562972892722858,52.51756257290265,54.88152684660836,Community 2
69,0.2730607408320195,0.26596917946305243,0.5613964226796782,74.21768306037343,33.85356994562989,Community 1
