b,N_modules,Richness1,Richness2,Richness3,C_feed1,C_feed2,C_feed3,CUE1,CUE2,CUE3,Competition1,Competition2,Competition3
0.1,50,21,15,19,0.5075911292734004,0.4750715296873943,0.5563630099651595,0.4187548175292118,0.428820129339195,0.4302905808487184,0.031327270963558335,0.031101693600138952,0.03126803396521412
0.11800000000000001,49,11,9,20,0.16120409873301433,0.15306429227899573,0.1697236793379951,0.4065658704823826,0.4134990676954952,0.42000295887751854,0.0316989283750032,0.029909478489362748,0.030836030646282334
0.136,49,9,13,22,0.16445127528616818,0.16137362953794518,0.1590274070202919,0.4143186121911969,0.4177901045040472,0.42686824869731693,0.030927339880930427,0.03051247996316595,0.030811309588095467
0.15400000000000003,49,11,12,13,0.15386717617697954,0.15333151715368828,0.15229102099834732,0.4340831093564324,0.4348022228862522,0.44070295758708317,0.03338799520229777,0.031567704096834306,0.032544629000868304
0.17200000000000001,49,12,15,9,0.16462770689148962,0.1733954506754472,0.15741944512061662,0.44713430148992106,0.45488213362349694,0.4587067813968069,0.03406486187772431,0.030854416166360494,0.03233354719568754
0.19,48,12,9,7,0.22851296757098413,0.21240311721517507,0.2131746882296867,0.4519515704441128,0.46308832345303835,0.46339021057101615,0.028897643529437148,0.03099939472222088,0.029959721042907367
0.20800000000000002,48,12,7,13,0.2164427663532722,0.20550701101840416,0.21653795343683263,0.465649127199738,0.46489357364375783,0.47373869558509774,0.030074941455759965,0.03116737893971264,0.030616593486457965
0.226,47,13,17,3,0.24205620297863498,0.24060323573579864,0.2464764839636709,0.47677473125246195,0.47730078323941355,0.46484066120913603,0.032070634064673274,0.031808627501509076,0.0319732246134709
0.24400000000000002,47,15,14,27,0.24501442452906483,0.2556451022162658,0.24248990799697195,0.4833509375077713,0.4794000276564676,0.48480753114025116,0.030032065077240745,0.03180515009206934,0.030927078763773964
0.262,47,12,12,2,0.2592811106545529,0.2592418101433947,0.2596054881030713,0.49168124690065385,0.4896034860688844,0.4727095676050781,0.0318398405681595,0.031355360822512425,0.03156647790454203
0.28,46,15,11,26,0.2931263329709449,0.29928412387481707,0.28288296015334885,0.5055274707429699,0.5099492112692142,0.5201788090070308,0.03205331472497606,0.030930409680152118,0.031587962216891155
0.29800000000000004,46,14,11,25,0.3017282705326694,0.3064999088428683,0.3003999772558914,0.5135047693020087,0.5172320568259832,0.52230018993804,0.03168502636569366,0.03215602461509697,0.03194516626228071
0.31600000000000006,45,14,18,18,0.3391826419274871,0.34171538580950045,0.34381154211633225,0.520759980809946,0.5158638410808571,0.5269632089721199,0.030124201514468384,0.030634209118619152,0.030369170722768415
0.3340000000000001,44,18,13,18,0.3384438821931623,0.3294250417801951,0.3704639922875527,0.5333864661586832,0.5293674641058552,0.534094779021059,0.0315197418749684,0.030737910182031123,0.031069133507078798
