CUE,Dominance,Group
0.23856119822725627,0,Community 1
0.2273232212332304,0,Community 1
0.26056378372590355,0,Community 1
0.2401006067719757,0,Community 1
0.2526143174220813,1,Community 1
0.25398952922403656,1,Community 1
0.26735264539211273,1,Community 1
0.24343805511682087,0,Community 1
0.26709104204315776,0,Community 1
0.2447809214338831,0,Community 1
0.24608095186984066,1,Community 1
0.25854780091587953,1,Community 1
0.2559149075686587,1,Community 1
0.2606236333341083,0,Community 1
0.22980433630705288,0,Community 1
0.2465204567993008,0,Community 1
0.24922973260175854,0,Community 1
0.25092914170287195,0,Community 1
0.25446512313049025,0,Community 1
0.2730607408320195,1,Community 1
0.25826820020260555,1,Community 2
0.2570704742686511,1,Community 2
0.2724360128499555,1,Community 2
0.2547563701279197,1,Community 2
0.23964396750761283,0,Community 2
0.22956466406919793,0,Community 2
0.23373843484367807,0,Community 2
0.25548904778516973,1,Community 2
0.2578525551549492,1,Community 2
0.26054387259827944,1,Community 2
0.2440302066042158,0,Community 2
0.2323886904907215,0,Community 2
0.2502379342985433,0,Community 2
0.2635688888840561,1,Community 2
0.27368625463111457,1,Community 2
0.25221272473674644,1,Community 2
0.262203900891832,1,Community 2
0.27549831163318556,1,Community 2
0.24674502303149443,1,Community 2
0.26596917946305243,0,Community 2
