N_modules,Richness1,Richness2,Richness3,C_feed1,C_feed2,C_feed3,CUE1,CUE2,CUE3,Niche_overlap1,Niche_overlap2,Niche_overlap3
1,10,10,9,0.8606323904888841,0.8635773621458289,0.8620955267783789,0.275515935544438,0.2522351595378585,0.2759555145278008,0.7475762349332109,0.7518413711879817,0.7495552677328603
2,13,13,14,0.6634396850577665,0.6649664692858646,0.6645789248556554,0.24570044751576173,0.24068669291275296,0.2518434340089961,0.5249479337476358,0.5195744444748995,0.5234990997857497
3,12,14,15,0.6204289755535072,0.6174706115306723,0.6195446516629133,0.29109847941084865,0.2779040101868228,0.29612958007589163,0.4598955439098704,0.4596331129989083,0.46132940105357495
4,13,18,17,0.6036963889057831,0.6132010225275526,0.608424730957158,0.27002772296209016,0.26342193747905596,0.2803274657511274,0.4360985397090096,0.43820252291635453,0.4363349962760421
5,12,10,12,0.6100125454335926,0.5993630162672063,0.6052978070279019,0.29998387195115184,0.2960588150297974,0.31053146183794705,0.4273389582558652,0.42126217566581564,0.42608641316454116
6,12,12,12,0.6176809642687852,0.6114910769979287,0.6144675407448525,0.29528465623498906,0.3084680440271494,0.31667212250039106,0.4320180179926411,0.42906742758501515,0.43096892460558517
7,11,9,15,0.6236093943484747,0.6211796380412646,0.622503841830267,0.3072409008144212,0.29812897170857666,0.3078489798954145,0.43612048445212137,0.4330305302285963,0.4352467030785514
8,14,16,17,0.6250255605241836,0.6342460920562168,0.6291930110308411,0.2912792607947493,0.2742766272088524,0.2927182760345533,0.4384919589794582,0.44479294232555655,0.4400137714827761
9,14,16,14,0.6410920035445471,0.6282759115366836,0.6350438886895389,0.2975794011359991,0.2818925081272484,0.3088341663556386,0.4529758434886568,0.43801822144612873,0.4462083735001844
10,15,17,16,0.6410942343566715,0.6354436728205929,0.6385410572043716,0.298987415497228,0.28374988043871785,0.30898716916699087,0.45355421304612653,0.4491973104939476,0.4514609647807667
11,15,13,14,0.6550626952339887,0.6662052825921534,0.6608257181914761,0.2644360114008865,0.28291634219544,0.29170166953065463,0.46906392986335654,0.48241187328617424,0.47546033897849876
12,17,18,14,0.664614295193345,0.6656375083351714,0.6649601934748071,0.2803376145075555,0.32009175033161696,0.3268795919598551,0.48489850031337095,0.48712735585733596,0.4856468244635491
13,14,15,16,0.6609001103093002,0.6728234783405224,0.6667135854199803,0.2995610765628238,0.30219363805830923,0.3120448824417257,0.47411682640453473,0.4913280243081579,0.4823184047899526
14,14,15,16,0.6757876380274693,0.6803333766696515,0.6781056226145654,0.2988735599892374,0.3139125768847258,0.3210932640925735,0.4949307441478665,0.4974973949269908,0.49608584765844194
15,18,10,11,0.6848850939430763,0.6876461776224618,0.6861141100084599,0.2690372010946014,0.31422605626914935,0.31576986121820066,0.4995362015305876,0.5071197713927253,0.5035359891776671
16,15,15,18,0.6934160475653622,0.6958680071609623,0.6946207870835658,0.30918502982308155,0.2814478811495186,0.31318635887130186,0.513968094387234,0.522568453078706,0.5184722755981019
17,20,17,22,0.7067574841369441,0.6915831771043938,0.6992214674900197,0.27527997191585624,0.295670349949057,0.29719165363528016,0.5289609380522503,0.5141212921679486,0.5218862879169991
18,17,19,19,0.7008353709966484,0.7024844871920713,0.7019000350765935,0.29049477753810554,0.28348245186115223,0.2941991270743031,0.5216840318046284,0.5214390264192242,0.522855189947105
19,15,12,17,0.7080411802400048,0.7152706673411262,0.7116220587939985,0.28485411628391094,0.29499938905126305,0.3013828245230662,0.5320372765878116,0.5383700733103497,0.5345493666530587
20,18,18,24,0.7158648704954261,0.7110322118698543,0.7134569111163431,0.2759722481983135,0.28029725947250084,0.28730970756755364,0.5418205188083667,0.5348369066917988,0.5384085029418643
21,12,15,19,0.6966803565701409,0.7054818433866126,0.701215179785101,0.28354318158925,0.28314024136572163,0.293976021277201,0.5118253379941258,0.522978087670594,0.5176263175667923
22,13,11,13,0.7207369030470742,0.7258021686060774,0.7230823927436675,0.3265661952294971,0.33707009730200793,0.348662680492719,0.5547024676617436,0.5603438310270965,0.5572840316678984
23,13,18,17,0.716174103491787,0.711045206029632,0.7135396654125481,0.3013766665297261,0.28630172007516974,0.29998465861631285,0.54052158975356,0.5312412320452782,0.5362009639911709
24,13,13,16,0.7139767914944225,0.7222099815644003,0.7181139826454364,0.29433711535193663,0.331799837605405,0.32854302605082847,0.5353786658528129,0.5536766837031337,0.5442501982439848
