b,N_modules,Richness1,Richness2,Richness3,L_eff1_sum,L_eff2_sum,L_eff3_sum,C_feed1,C_feed2,C_feed3,CUE1,CUE2,CUE3,Competition1,Competition2,Competition3
0.1,50,23,17,24,4.544265354337851,4.514743041046574,9.059008395384426,0.5050040680512953,0.4726878274114797,0.5550445824040229,0.17376683714627605,0.22017614882799758,0.21717047762284986,0.0012163509556865474,0.0012220985502134922,0.0012325844983586008
0.116,49,23,16,29,4.485469602523116,4.357092304155753,8.842561906678867,0.16016490753903365,0.15210064724593633,0.16897693128015073,0.12686829871363742,0.14209315771052963,0.19150193640319987,0.0012461311494043567,0.0011650219891363232,0.0012226522829148706
0.132,49,18,19,36,4.357203661045859,4.3323721288071235,8.689575789852984,0.16300802813624016,0.15998989014762788,0.1582510428650951,0.12773564706202944,0.14077105437650206,0.15763121538162184,0.0012147939132919172,0.0011987271533407864,0.0012212481624142139
0.14800000000000002,49,21,17,24,4.456081109964112,4.326254443161674,8.782335553125785,0.15218303788970566,0.1519725078244213,0.15116949882351208,0.16050699660148668,0.14761834937669888,0.17492085899396187,0.0013099450941417338,0.0012429253303850557,0.0012891575479913552
0.164,49,16,18,17,4.414561874963552,4.185873695868914,8.600435570832467,0.16309828716750205,0.17127523067083106,0.15618185115938965,0.1834276834207104,0.18935918465901758,0.21597468194968983,0.0013341156559580887,0.0012130650759776714,0.001279596637043896
0.18,48,17,22,17,3.9868438652527285,4.132028853792205,8.118872719044933,0.22606469711283955,0.20987584570642245,0.21146078798817572,0.1661655137939064,0.17421691746304332,0.18542445145630324,0.0011273230719833522,0.0012166466499815894,0.00118347926888361
0.196,48,13,13,19,3.992133080154778,4.065924949078129,8.058058029232907,0.21375964669794875,0.2027160798146883,0.21467814052730871,0.19605741673297958,0.18506811199719153,0.2202423879246439,0.0011705106949948035,0.0012168418616110824,0.001208534029246069
0.21200000000000002,48,19,20,26,4.066964231258201,4.009672151295147,8.076636382553348,0.1967057791211271,0.20436040793705032,0.19505958417709263,0.1833725448954123,0.183413245469132,0.20828747865114178,0.0012656364965493736,0.0012368370023379514,0.0012647186205151568
0.228,47,18,17,22,3.8358618679553595,3.9540296151671352,7.789891483122495,0.24098971494400068,0.2521576067673422,0.23958629449082422,0.16483903554217955,0.1823900976629838,0.1811840718752935,0.001175448538383461,0.0012388943968025263,0.0012241595466974458
0.24400000000000002,47,15,21,19,3.880952107738716,3.8453261203127664,7.726278228051482,0.2550828675964086,0.25485264517801687,0.2563964538963565,0.19825291198811903,0.16140095854539077,0.2177263921072054,0.0012524826065713978,0.0012312686452019897,0.0012520259224540306
0.26,47,17,19,33,3.8333146984932966,3.738147333632897,7.5714620321261945,0.26104106756104967,0.25693460664909207,0.24383935026315318,0.19791127656768315,0.19192577226745247,0.22430209829663886,0.0012738134808782313,0.0012066186192967482,0.0012523963221378128
0.276,46,14,15,19,3.7559071843684704,3.6569591312203156,7.412866315588786,0.2337833009800062,0.30579820702337385,0.29445991115614084,0.19882709619550223,0.19941531455689568,0.21398507094871796,0.001277344081910503,0.0011977716169668192,0.001251166000990213
0.29200000000000004,46,16,16,24,3.625626471555229,3.6455212464782116,7.27114771803344,0.28896745192140183,0.26797722196790497,0.2758856445221093,0.240856786468328,0.22355527105512368,0.24019660253595604,0.0012362900265700562,0.0012467786533126948,0.0012559749104017622
0.30800000000000005,45,24,15,18,3.535975640443526,3.5847943265358078,7.120769966979333,0.3205997948720577,0.30955580753199324,0.30837798282040235,0.17072989439970998,0.21101943909214207,0.20849812038829033,0.0012291142049861636,0.0012541124680969622,0.001254017831202774
0.324,45,18,18,18,3.4398942625343976,3.441567795122697,6.881462057657095,0.29631057393424076,0.3311665056075918,0.30068398826493287,0.1959468658933563,0.20761262578551978,0.22794407589920473,0.0012104988311145688,0.001206663942167565,0.0012221768705500487
0.33999999999999997,44,19,21,21,3.456719681554067,3.3317552120788254,6.788474893632893,0.333971294651661,0.35071496131436886,0.35160218393284093,0.22906989416833143,0.19020085714453008,0.23492061360617664,0.0012786435754586027,0.0011847539241696126,0.0012438236123916559
0.356,44,18,12,16,3.2722026379591007,3.2966061085065888,6.56880874646569,0.35077392960025966,0.3403822985347467,0.34850549343018294,0.20151781365847893,0.22641989656830175,0.2275829693119584,0.0011880128017400934,0.0012119638945804947,0.0012168974614988827
0.372,43,22,19,18,3.244401843906067,3.25639434891688,6.500796192822947,0.367672842400661,0.3773662719613697,0.39833064961329595,0.2045544869594772,0.2148226516346577,0.2273869779178997,0.0012336802111434962,0.001242324111768638,0.001251347464903265
0.388,42,14,22,22,3.147291175582019,3.189244783095624,6.3365359586776435,0.4116633997295806,0.4013784977656124,0.4172151935620635,0.21921992587742442,0.19656500043227854,0.22185677594690842,0.0012225673226875036,0.001243046065882652,0.0012482250658090767
0.404,42,13,14,20,3.099091398581029,3.0878244518980407,6.186915850479069,0.3983104394842363,0.40917684120363323,0.4221601706832902,0.26289161697495267,0.24107657989632386,0.2655277086420567,0.0012396871917459272,0.0012297430925357295,0.0012474841933412168
0.42000000000000004,41,17,20,22,2.9922685895231282,3.046115513466948,6.038384102990076,0.44474364884447876,0.4302585265280967,0.45162085438658495,0.22119067435343112,0.24204782648686768,0.24416885346314207,0.0012050037026364957,0.0012510155500037614,0.0012443009677808755
0.43600000000000005,40,14,17,20,2.910096917658049,2.9809666468677865,5.891063564525835,0.4497715201363205,0.45061286944211043,0.45477112967833844,0.23195674033928362,0.23450147770734223,0.24592521705737241,0.0012090415236406737,0.001274358842506595,0.0012537093999966382
0.45199999999999996,40,20,18,19,2.813345844258043,2.8842101047873925,5.697555949045435,0.4826986974169389,0.4634495204073536,0.4830806110970239,0.20026817782103348,0.232474038121564,0.23614384066093017,0.0011943545747072559,0.0012469531090465269,0.0012372768946939305
0.46799999999999997,39,17,21,18,2.7536940527656664,2.7625305251479118,5.516224577913578,0.4990949890444479,0.5066887235886415,0.5012255317065049,0.2353188415350463,0.23664704728888758,0.2581547752614319,0.0012001715524641073,0.0012119371166775903,0.0012187958309998804
0.484,38,15,16,18,2.669614932564483,2.6331605552251656,5.302775487789648,0.5120418861828456,0.5342133100639352,0.5337143088015247,0.2323010705818503,0.23231579442017344,0.24486064054407727,0.0011960046482822884,0.0011662150512111828,0.0011925518646797874
0.5,38,15,12,16,2.6603741767026055,2.614803082872356,5.275177259574961,0.5293227955183587,0.5201030055095871,0.5390068575341455,0.24893292976788675,0.2534664313525223,0.25641843985844964,0.0012593256185706185,0.0012177839474703462,0.0012496366118159826
0.516,37,16,17,20,2.5546795484033304,2.5626771460158815,5.117356694419212,0.5375606297391318,0.548875687552774,0.5519375300726465,0.25226665174605545,0.2116022694819476,0.2475791899819046,0.0012278142266333788,0.0012357217658510685,0.001245306230844439
0.532,36,13,13,18,2.442268025482673,2.5202786412465326,4.962546666729205,0.5767278477674668,0.5485568759924319,0.5801730073784437,0.25062494702325994,0.2620394945254179,0.26420228520717465,0.0011873725081495625,0.0012702533172022892,0.0012424842098046752
0.548,35,18,15,19,2.394474522478378,2.410166144168808,4.804640666647186,0.578061264127806,0.5954189147552988,0.5947367022454559,0.25491383009288376,0.260663297326319,0.26972902875795046,0.0012227205651328826,0.001235892289366734,0.0012412372711542372
0.5640000000000001,34,15,17,15,2.317005941078275,2.308323303576169,4.625329244654444,0.5939369999950904,0.6284943901550195,0.6209298695127968,0.24433591490512355,0.25397103895856815,0.2612352904014222,0.0012248172857026078,0.001212925391525855,0.0012302614580983616
0.58,33,16,16,18,2.256618096816781,2.2899938346366717,4.5466119314534525,0.6256910436631365,0.6404229049993052,0.64066190178879,0.2537645394599764,0.2625773961387893,0.2767192053585196,0.0012389853944112673,0.0012793558336721383,0.0012684211900319564
0.596,32,15,19,23,2.1782065622786226,2.1965262264528134,4.374732788731436,0.6437975040032957,0.6542558586486462,0.6555324867491829,0.23631022935343607,0.2256230706923437,0.241096954203988,0.0012295121685025633,0.001253833024455815,0.0012549397292469728
0.612,31,11,19,18,2.122172379984211,2.0948783193712455,4.2170506993554575,0.6554800732232297,0.6706759443675009,0.6815318915410052,0.2555387452822314,0.227619939608626,0.25391354439672914,0.0012580284335536615,0.0012280403803471382,0.001255411603680704
0.628,30,15,12,15,1.991169980913851,2.021981348259366,4.013151329173217,0.6881435432443628,0.6809961876288763,0.693559097542663,0.2580287141160227,0.2694915719750015,0.2778522997005638,0.001196457278618887,0.0012323979877227856,0.0012267034328799203
0.644,29,17,17,16,1.9374805349673399,1.9544443635491233,3.8919248985164634,0.7268584070920822,0.6996625296662917,0.7195779942849183,0.25886174644237286,0.2462608761012998,0.2671504370871213,0.0012151967946118544,0.001241137285555076,0.0012412983142347635
0.66,28,16,14,14,1.8648831469490028,1.8615328659752048,3.726416012924208,0.7436801492636769,0.7105835559157702,0.7337454809537051,0.24618256933492377,0.27349580791239475,0.283616784235354,0.0012248545124544999,0.0012212341362493194,0.0012363191234406568
0.676,27,9,13,11,1.827214534599154,1.779290071600121,3.606504606199275,0.734868419567806,0.7408226206033844,0.7450782166777107,0.2833958122876257,0.2825399526700874,0.2941437798892427,0.0012783048102131076,0.001216314213121237,0.0012581154000105108
0.692,26,20,9,14,1.7235974851053544,1.6861739756038874,3.4097714607092415,0.7764497977078155,0.793013495757617,0.7862468198947504,0.24037679782843643,0.2792628735006888,0.2777953540157667,0.0012389326849216746,0.0011872636296569262,0.0012250001403909618
0.708,25,14,16,16,1.6424616473499287,1.6283694151656407,3.27083106251557,0.783821427878144,0.7873985120136888,0.7912502036434906,0.272881531051427,0.260566217117112,0.27968720168601413,0.0012314219381601786,0.0012071495624890523,0.0012341442530872176
0.724,24,16,13,15,1.557743757269228,1.5538694057758005,3.1116131630450283,0.6234581618833056,0.6785925787628905,0.657460410695066,0.247191961884677,0.2551528881960192,0.25993421156440816,0.00121928643565321,0.0012108087262578714,0.0012282230733499113
0.74,23,16,12,16,1.4716023861848608,1.5070549195103606,2.9786573056952212,0.6455100105642086,0.6285075379620478,0.6517533432554067,0.23630016713698368,0.27998473615233777,0.275292428810936,0.001199110034178091,0.0012620199862498765,0.001242159897650542
0.756,21,15,10,14,1.4017854500600442,1.4020218504549673,2.803807300515012,0.6979179785894648,0.6869004523891784,0.6913090022788004,0.23749963395873291,0.26181791597097437,0.2604634579731394,0.0012109582560644828,0.0012148168778831514,0.0012237336331853898
0.772,20,12,12,18,1.3137672415310728,1.3496956605736317,2.663462902104704,0.7285770023544975,0.7270892533509768,0.7308320471688823,0.2601819603510806,0.27730379692779233,0.27579385882092905,0.001185983136070498,0.0012572023532694588,0.001233025720324128
0.788,19,14,13,13,1.2594193270126564,1.2643253288466072,2.5237446558592636,0.7451201867303411,0.7469630253308283,0.7478183477025654,0.25324797891295386,0.2802171225335962,0.2776461231298819,0.0012301251401047818,0.0012414427861862107,0.001247362812156234
0.8039999999999999,18,10,10,11,1.169862920155413,1.1799503735287566,2.34981329368417,0.7785203876196908,0.7874701669835672,0.7875824502402778,0.2856100388239257,0.27905678432679976,0.2923531614123669,0.0011994564836279064,0.0012293362327330658,0.001222919027698051
0.82,16,12,10,10,1.095604535219442,1.1047226331679347,2.2003271683873766,0.7770887678007998,0.7768454896301795,0.7695916700742346,0.2608778247703109,0.3178326007296418,0.31537583866900504,0.001208675836180292,0.0012259605945043701,0.0012299135859114411
0.836,15,14,16,15,1.0233749644073566,1.0344431031982744,2.057818067605631,0.7666673755936065,0.7607711525097,0.7760578814008037,0.27132152547691046,0.26438097373343034,0.28082016969591206,0.0012115631191625563,0.0012348397123999083,0.0012369144245813286
0.852,14,9,11,13,0.9632980381500362,0.9526575381915432,1.9159555763415792,0.7941779263188488,0.7914994956310372,0.7920107300140076,0.29603832199602476,0.2848962536591663,0.29689917883478395,0.001250455353041168,0.0012227829399231727,0.001249690903389248
0.868,12,16,15,17,0.8737295041143298,0.8706389829821017,1.7443684870964318,0.8047407353171514,0.80095297011327,0.811328815794927,0.2706462914459591,0.2532374538968453,0.2727421383264127,0.0012108131454701195,0.0012080903393196568,0.0012222929498484968
0.884,11,8,13,14,0.7986999190735649,0.8014155368584028,1.600115455931968,0.8120884828773937,0.813410156997595,0.814383993971156,0.2845415368714958,0.2673075185730337,0.2845704523518861,0.0012139606011126913,0.0012269194154721622,0.0012322757023874933
0.9,9,8,13,7,0.7239345708905659,0.7149150590599513,1.4388496299505174,0.8257839851655816,0.823086044740671,0.8262298347358138,0.2976694544278268,0.2758953432082108,0.3115519503468879,0.0012174690162311656,0.001192888212145981,0.0012165532060883378
