b,N_modules,Richness1,Richness2,Richness3,C_feed1,C_feed2,C_feed3,CUE1,CUE2,CUE3,Niche_overlap1,Niche_overlap2,Niche_overlap3
0.1,50,3,4,3,0.714351803851235,0.7223553730763641,0.7183570249113485,0.22058769975377635,0.19603319368486274,0.22059217264727365,0.5158962009040863,0.5281237836153458,0.5224930794240156
0.11800000000000001,49,8,6,7,0.7384820722556378,0.7047600270379789,0.7214943931475574,0.2168675875076519,0.224830557489243,0.2349727487684573,0.5553420894509101,0.5061308761098844,0.5299239020347927
0.136,49,8,11,12,0.7221193820713016,0.7052492088655394,0.7136431652330406,0.18453906210890209,0.19024067815343215,0.1951304982752983,0.5307853895573309,0.5053455997161713,0.5184216340323377
0.15400000000000003,49,12,10,14,0.7006752215255295,0.7006285977695103,0.7006497212167332,0.1821971770454868,0.22713457348388727,0.2192737524943209,0.4991983635411086,0.4997232002294107,0.49961926351077973
0.17200000000000001,49,13,15,14,0.7220261618004575,0.71594569888969,0.7190781675680515,0.15533684551083568,0.18351632247124924,0.18015503814102196,0.5307826421841898,0.521800501824205,0.5263369295351559
0.19,48,13,15,15,0.7379685023880531,0.7219238702591918,0.7299086915666946,0.16393728993748094,0.1523092062197769,0.17248272197583825,0.5540014681709249,0.5316306007427857,0.5431456950396956
0.20800000000000002,48,17,11,21,0.7438705646183388,0.7210536347575212,0.732502755065414,0.150275604458546,0.19327246441918094,0.18704745852466648,0.5634517347495274,0.5303220773906847,0.5466529342595596
0.226,47,19,17,25,0.7116251620974492,0.7057038569056194,0.7086463629794914,0.16297391933443262,0.1778628684931031,0.17829046339140808,0.5171983694862862,0.5099189452028265,0.5133832596877412
0.24400000000000002,47,9,17,14,0.7456055279408447,0.748184038648457,0.7469361527487519,0.2110977255190744,0.18818900918488426,0.2117760894992896,0.5685022996491635,0.5712170668572771,0.5700261926673311
0.262,47,18,16,20,0.7321187747935765,0.7159078701639576,0.7239538454847267,0.17125255511046814,0.16649055113928102,0.17567264338201857,0.5462440616735672,0.5234611999454664,0.5351217214322858
0.28,46,17,17,26,0.7326534152760699,0.7194435242609357,0.7260212687530212,0.18162492606182434,0.1690304926009909,0.18414655858173357,0.5471013821032524,0.5290154043383462,0.538269037883844
0.29800000000000004,46,13,14,18,0.725914989445422,0.7103630404101847,0.7182915135891866,0.18022452148109358,0.1820481543380593,0.19540299924477297,0.5391068550303416,0.5168116949911977,0.5274649469892482
0.31600000000000006,45,19,16,16,0.7233640802968967,0.7358032488486446,0.7295317396958015,0.17930195299276938,0.21837090390678612,0.22034844833170908,0.5343807926161961,0.551812372852179,0.5430475243334925
0.3340000000000001,44,17,14,14,0.7342607306971276,0.7432136294942772,0.738726276980723,0.23102970756628627,0.20545046628271751,0.23348835067364138,0.5489080175512812,0.5637830754401424,0.5565769194624766
0.352,44,16,21,22,0.7375115196140255,0.7507961350839062,0.7441446998917718,0.19555922865106257,0.1637875051437674,0.19866364543254872,0.5554510320295701,0.5747550349223843,0.5652796763922351
0.37,43,18,12,18,0.7535394380964423,0.7432207887717798,0.7483165549870039,0.19163151571348833,0.20183907266848222,0.2192925222535707,0.5784158628498518,0.5637137588401061,0.570855890639411
0.388,42,14,19,21,0.7451793638200648,0.7689656217040334,0.757076862960065,0.21840749407401203,0.1877629726657209,0.22245904079141093,0.5643539668922767,0.5998676255250946,0.5826025126674603
0.406,42,20,19,21,0.759682719122718,0.7406294099924169,0.7501584558727067,0.15544727973712658,0.19238231153941904,0.1928945029962306,0.587281951699319,0.5568260651948678,0.5722832239588616
0.42400000000000004,41,22,14,20,0.7479633746465371,0.7251298236662529,0.7364847692888743,0.18170162531296355,0.22032548073641026,0.2215844016549439,0.5676706235538856,0.5324177859421023,0.5501248674582424
0.44200000000000006,40,15,15,15,0.7366950585671374,0.7636759241253228,0.750226348931091,0.20289682350743968,0.22469322468553243,0.22833590154618386,0.5493212349903998,0.5905138163050991,0.5692294394214107
0.4600000000000001,39,14,14,14,0.7445734026611217,0.7569653374964417,0.7507401006550146,0.2318123637854446,0.2263118368063646,0.23845479741161105,0.5631160666871752,0.5812953060571259,0.5726625269855519
