N_modules,Richness1,Richness2,Richness3,C_feed1,C_feed2,C_feed3,CUE1,CUE2,CUE3,Niche_overlap1,Niche_overlap2,Niche_overlap3
1,100,100,200,0.8623116542692673,0.8608333158708718,0.8615306232314002,0.6000674006406524,0.6000503377570632,0.6000588691991142,0.7491010564708565,0.7469415237255814,0.7482860542841883
2,100,87,187,0.5961413923067679,0.5991950057449186,0.5983633639378606,0.5933892340869386,0.5923229118016442,0.5928560756656747,0.4463517777286275,0.449483047178608,0.449192113428601
3,100,100,200,0.5070691036097706,0.5076917493854919,0.5083769344708872,0.5951953578544351,0.5962754621346007,0.5957354102035748,0.350658921123754,0.35712036675389486,0.3560591873900528
4,83,89,172,0.46121797834221095,0.4577866615868389,0.4606261476689456,0.5966563236898024,0.5982982273537912,0.5974772777362012,0.3069176407334124,0.3024281592501166,0.3070117871177663
5,88,98,186,0.4383579384212585,0.4380846909685027,0.43953790277574084,0.599848987332532,0.5973639244307811,0.5986064530511869,0.2863251350722443,0.28565543956875533,0.2884542455468307
6,73,94,167,0.4300606979426093,0.43285199998305735,0.43266006447055366,0.5993441368079828,0.5972984149733976,0.5983212507353116,0.2732102603072439,0.2737106298475177,0.2755955946651709
7,83,95,178,0.4177098637400373,0.4284065690800955,0.42440855875150957,0.5992978385940437,0.5986671936822789,0.5989825155164866,0.25996439084250855,0.2685485855372296,0.2661359033650143
8,81,100,181,0.42621105669077125,0.43433304287844954,0.43139537699278097,0.5996661539891515,0.5983882629320394,0.5990272022231041,0.2601518088798958,0.2671242362663932,0.26631310507366424
9,79,100,179,0.43057201569560327,0.4293663788502937,0.43092095631601784,0.5993490690913589,0.6003185473370558,0.5998338111548854,0.25869469742203155,0.2593042010333681,0.26136017060462746
10,70,71,141,0.42617081847598703,0.44367483326463575,0.4362210911344538,0.5988726799731031,0.5986333092961408,0.5987529892865464,0.26017547547805225,0.2751876142219952,0.27009039576538474
11,98,100,198,0.44339843924249667,0.43565870121677136,0.4405146391382779,0.5996094940809067,0.5997372105016161,0.599673352298076,0.26570643818201095,0.2587356386586309,0.2647003882423373
12,94,100,194,0.4444526996130048,0.45676432879670287,0.45146546216702493,0.5995191009797437,0.5980072868641759,0.5987631935398835,0.26393153279084175,0.2751482961400514,0.2722522572887261
13,100,74,174,0.4702999447215758,0.4729718060274308,0.47268515243661136,0.599400418659592,0.5987850295901312,0.5990927273428621,0.2889849245863641,0.2896313387999043,0.2913342426435232
14,70,93,163,0.45744288543780964,0.46103054993864684,0.4603185486222851,0.5971829920845647,0.6000642013597581,0.5986236037444322,0.2730681773405122,0.2787061371399168,0.27823705009354993
