N_modules,Richness1,Richness2,Richness3,C_feed1,C_feed2,C_feed3,CUE1,CUE2,CUE3,Niche_overlap1,Niche_overlap2,Niche_overlap3
26,16,8,14,0.8435625051916777,0.8453613228069277,0.844480616388817,0.2519783795555268,0.256117195157453,0.2610418681166184,0.7197209149807849,0.7235815150488573,0.7215982366781081
27,7,19,10,0.8525805832163588,0.8507584260708148,0.8516154012922303,0.2578734463577088,0.24287160248491527,0.2615779423096019,0.7349127634719983,0.732249720886937,0.7335912792981137
28,12,9,14,0.8495724911531378,0.8521121995241838,0.8508600834341707,0.25280839366060504,0.2614719414425363,0.26422167245841455,0.7304111362793939,0.7341509183342517,0.7325072261203637
29,11,16,12,0.8483673317975235,0.8517707110074858,0.8500752461173364,0.27666399348092613,0.23799084831885567,0.27640916956882183,0.7268765502637419,0.733218685521511,0.7302508353987257
30,10,10,8,0.8460418395201488,0.8529866348837889,0.8495017694153315,0.2631457182369224,0.27092994865777115,0.27656715055000647,0.7239751756383802,0.7345384315920257,0.7293246636156869
31,12,7,12,0.850866152797035,0.8532481654655214,0.8520529937241605,0.25505285858531024,0.27256321348147133,0.27696497731338576,0.7317096726286135,0.73610586903039,0.7336929094819864
32,10,7,10,0.8477543808730282,0.8496899027698973,0.8487003367584496,0.25506352919881875,0.27528773262646733,0.2759937542866877,0.7267690166443279,0.7291047789618408,0.7278377627179795
33,12,12,17,0.8514784244673235,0.8532364018763147,0.8523133935467414,0.25111611682087315,0.25395821369627075,0.2598293585905191,0.7332156125747392,0.7360244567404294,0.734401525857458
34,12,12,18,0.8514068887736802,0.8506153782128499,0.8510229206473163,0.25035399991594864,0.2292893007637426,0.2490606236238203,0.7331846585042558,0.7304100498748076,0.7314978323955699
35,12,14,14,0.8566836273902847,0.8538770891442392,0.855334595888368,0.2589262345204274,0.26942160647409724,0.2712975309284821,0.7414893631312724,0.7363676640028318,0.7387294775786843
36,10,6,10,0.8503579620461322,0.8523971729111843,0.8514029049357176,0.2580245768145325,0.27520930147488903,0.2790800764733745,0.7310684203513826,0.7336276689675146,0.7326077635974422
37,8,12,8,0.8573182083481369,0.8537433334840112,0.8555406042107201,0.2857458752379497,0.25672879456030717,0.28294320443546794,0.741616888561516,0.7363048126292366,0.7391822902197809
38,12,16,13,0.851023388611255,0.8542626155523496,0.8526585571068546,0.26153991752734934,0.24414701106238174,0.2605126399117264,0.731263784151433,0.7367719203394059,0.733879586142955
39,10,11,15,0.8535885428430245,0.8537083280617533,0.8536101513657142,0.25135021471411684,0.2601948838356084,0.2635323197120642,0.7363504878793709,0.7357532015575122,0.7361817198355347
40,9,12,17,0.8570028266557328,0.8581130946774634,0.8574715600949844,0.2515501516886687,0.24445650940531147,0.25311470889490356,0.7416639454495506,0.7433496865841329,0.7425744538895557
41,14,14,13,0.8518925995878396,0.8561012686699387,0.8540118418487987,0.22611332287853955,0.23600379690351064,0.23823790359773853,0.7324624861217798,0.740209303742149,0.7365836358416947
42,6,16,12,0.8563683001009755,0.8483077610392092,0.8523860955048604,0.25950154821689525,0.23778385658061132,0.2619700717080721,0.7416774651810238,0.7268667312508303,0.7341924914370346
43,11,10,9,0.8533233308454695,0.854529311511346,0.8539435086299159,0.28194787538526894,0.25105602428890883,0.2841324982930478,0.7349467896000083,0.7382355902384243,0.7364585657497478
44,15,17,14,0.8530062275971549,0.8557841693571012,0.8543807347117346,0.2551401460573562,0.24698773168238392,0.2635744314521257,0.7342735652439991,0.7400825372848933,0.7373426007208935
45,9,16,8,0.8574109453099057,0.85458971060945,0.856021195489526,0.25714294555555156,0.2378527742138406,0.25918249099542706,0.7422366422010371,0.737622685428961,0.7403428016978187
46,10,9,14,0.859105467366822,0.8506220036869281,0.8549448879979522,0.2689341665381121,0.25866322110020024,0.2720393495458466,0.7459244470379364,0.731459041293255,0.7383759828762914
47,8,9,12,0.8496364867043985,0.8541176840367337,0.8518709271147781,0.2604856535188546,0.24540137059530806,0.2596550132749417,0.7291792427507462,0.7371751131812713,0.7331491231843001
48,7,10,8,0.8523958847584048,0.8549100273599209,0.853659465115516,0.2708687325573798,0.2630629027659765,0.27336296449386993,0.7338729169186485,0.7385361795965238,0.7363420073822988
49,11,11,11,0.8593965125884613,0.8558598269031776,0.857646865739448,0.24641250816529509,0.261608374384485,0.2650088802878934,0.7471159181315763,0.7395942930602788,0.742736092004949
50,10,13,9,0.8556886102521307,0.8589036058992355,0.8573394947340074,0.24995404864747175,0.2590138010800851,0.2626541097999499,0.7388385736929597,0.7445869989938495,0.7418435372557578
