match_pct,N_modules,Richness1,Richness2,Richness3,C_feed1,C_feed2,C_feed3,L_eff1,L_eff2,L_eff3,CUE1,CUE2,CUE3,Competition1,Competition2,Competition3
1.0,100,44,33,56,0.6711069795437911,0.6616806542098905,0.6890955223036155,0.0010371602943505798,0.0010375017804504169,0.0010105621170999786,0.4436387277237329,0.4447626307613529,0.5433504436860322,0.0022823073824551326,0.0022271827590987308,0.0033864109177472726
0.9473684210526316,100,35,42,55,0.6674850061859626,0.6611397989240645,0.6855600137794856,0.0010354173903279178,0.001031591279214807,0.0010104568924219593,0.44455894107812766,0.4408100429611831,0.5497385002616243,0.002615772424984723,0.0025853260980062825,0.0037502725920635096
0.8947368421052632,100,39,35,54,0.6628370117963468,0.6832779371743452,0.6811890882645054,0.001027131565925729,0.0010188444218491167,0.0010076058828437965,0.4446662574464444,0.4398635959932412,0.5510311809645608,0.002561061746815355,0.0025315252479561597,0.0037218502173226625
0.8421052631578947,100,33,36,65,0.6583547291753021,0.7056532197447711,0.6854831453463032,0.0010292712417934546,0.001014969793324561,0.0010078479331899896,0.44562952086393426,0.4387493510007469,0.5503070988259033,0.002570625588488554,0.0025214988340758167,0.003617699164510632
0.7894736842105263,100,29,36,50,0.6911928691755941,0.6829126682522673,0.6888116874682593,0.0010217959372973541,0.0010288714880490478,0.0010120517665100563,0.45096623957987353,0.4425840171971983,0.5421724303825384,0.0025444419024502397,0.0025661073154152106,0.0036742408505675197
0.736842105263158,100,33,31,44,0.7057836712768528,0.7062464640030847,0.6978130833682042,0.0010124903269431655,0.0010157999694497674,0.001006453714543555,0.44347795501269305,0.43831811417932504,0.5430376136255183,0.0025041874499928266,0.0025175644873741665,0.003575368923595449
0.6842105263157895,100,35,33,52,0.7095602356945755,0.6775703745685808,0.6915435516814554,0.0010134592728861327,0.0010169926435909873,0.0010039102610549858,0.4443110337193907,0.44259002473018144,0.544192554909312,0.0025081702883518503,0.0025235201268391867,0.0036358539485777694
0.631578947368421,100,31,33,49,0.7039213660249384,0.7060547850041456,0.6950655769234978,0.0010048202146791339,0.0010189894083281542,0.0010030518109774558,0.438357703143084,0.44471961889628275,0.5523141890543061,0.0024596802117237042,0.0025401625451513536,0.003776965229818107
0.5789473684210527,100,27,26,38,0.7052075960614618,0.7186483564841062,0.6950122318719254,0.0010117181859185082,0.0010008736751428806,0.0010057252168664196,0.44822659402359205,0.43982626391901297,0.5494814554948243,0.002494266291783111,0.0024534689664903364,0.0036935584498830132
0.5263157894736843,100,33,30,47,0.7147228957134949,0.7152557302171574,0.706549287991602,0.0010101349361003155,0.0010088363831223816,0.0009987987591280078,0.44370256261691093,0.4426991478254106,0.5381458651609472,0.002487768812009662,0.0024863686860678138,0.0035098947966047344
0.4736842105263158,100,25,36,53,0.7261951416512141,0.7112311616617045,0.704063848285639,0.0009923314164412733,0.000999275078549833,0.000997162081301891,0.44697514308881164,0.4384428691484878,0.5424527071827424,0.0024113098805526698,0.002430798489099466,0.003544399607700536
0.42105263157894735,100,23,32,51,0.7275216753785939,0.7382878661084734,0.6994087935290222,0.000991823874006964,0.0009909470867620436,0.0010024332076325312,0.4394915341894965,0.4358604705058004,0.5475525902289885,0.0024084346985345285,0.00239778707705752,0.0036638126027484386
0.368421052631579,100,29,33,45,0.7293090809755344,0.7440760846062194,0.7122410728012697,0.0009951523425544928,0.0009775957369237832,0.0009918555116575044,0.44292006268577216,0.4348547319923888,0.5343205847897281,0.002420038954807976,0.002329985025054202,0.0034118113067207237
0.3157894736842106,100,26,29,41,0.7476002520926566,0.7484146754512606,0.7071068824447362,0.0009896058790104223,0.000987144150315562,0.00100068304873686,0.4372233333167336,0.4408909246949707,0.5431596215667511,0.002391509438315582,0.0023910019707238887,0.0035915402450430213
0.26315789473684215,100,34,31,50,0.7416085835909639,0.7457930886850329,0.7133472938993024,0.0009838579421461656,0.0009960422212976724,0.0010005987867783527,0.4319913875049107,0.4362333630490016,0.5395088413411228,0.00236256321166075,0.0024270913748422203,0.0035371232732954237
0.21052631578947367,100,21,20,41,0.7645786458153043,0.7683575406067173,0.7116476154781382,0.0009727928127840407,0.0009729922635232761,0.0009972518356792157,0.43502061605963016,0.43026328160927013,0.53559782775144,0.0023097301546725025,0.0023229391212040104,0.003496964743833622
0.1578947368421053,100,24,24,38,0.7669884541171695,0.7547566174453887,0.709508641259389,0.0009721075995763684,0.0009786166409951325,0.0009987050828312095,0.4331549998392643,0.43594127541709937,0.5454470331944662,0.0023124739534679693,0.0023455787251836975,0.0036755402953826937
0.10526315789473695,100,25,28,55,0.7698668377089234,0.7735695318124763,0.7129747934751366,0.0009634682164212574,0.0009625489676695647,0.0009951718649621084,0.4303739983119689,0.4219293009416589,0.5407455648944135,0.002272225379399303,0.0022676675466462956,0.003595563426748911
0.052631578947368474,100,20,32,39,0.773545339450949,0.757198956602729,0.7050499813294417,0.0009658993626576509,0.0009740141550965862,0.0010011276313342486,0.4308492400999775,0.4241547359086383,0.5424173751411473,0.0022833595136034722,0.002320560053686254,0.0036665319766368215
0.0,100,24,26,46,0.7866469532559041,0.7902519895377655,0.7167879596886099,0.000955301560714647,0.0009523878883326545,0.0009921297486984607,0.4217196680183824,0.4207644090988829,0.5502765079750103,0.002230901268048236,0.002216610634806801,0.0036125821498824463
