Seed,DilutionRate,Community,Species_ID,Origin,CUE,C_final,Species_Index
50,0.01,Comm1,1,Comm1,0.16715153963768709,0.0012922266730972147,811
50,0.01,Comm1,2,Comm1,0.16791000965581857,0.01062216064626951,196
50,0.01,Comm1,3,Comm1,0.1483801201072565,0.00018884543855189905,578
50,0.01,Comm1,4,Comm1,0.14343776034370365,0.00033924864872903984,504
50,0.01,Comm1,5,Comm1,0.11828955290925669,5.814292890733835e-07,172
50,0.01,Comm1,6,Comm1,0.19184261094400007,0.11017045853043196,58
50,0.01,Comm1,7,Comm1,0.16020163195889303,7.235475209072892e-05,195
50,0.01,Comm1,8,Comm1,0.21225441627395147,0.22010000162794335,57
50,0.01,Comm1,9,Comm1,0.2074738219361651,0.4403259883109056,755
50,0.01,Comm1,10,Comm1,0.08741648399798538,4.4082578497939174e-08,837
50,0.01,Comm1,11,Comm1,0.18922993764863416,0.4339328435661472,722
50,0.01,Comm1,12,Comm1,0.1706003821765357,0.0051356975541450595,63
50,0.01,Comm1,13,Comm1,0.03265922328828842,8.628706203361514e-11,400
50,0.01,Comm1,14,Comm1,0.16800914195811492,0.0009180073311275407,758
50,0.01,Comm1,15,Comm1,0.16145574113275932,0.0005344094967395657,631
50,0.01,Comm1,16,Comm1,0.11187025747780309,1.5762890253819743e-07,454
50,0.01,Comm1,17,Comm1,0.17077481677114104,0.0003825145151903526,732
50,0.01,Comm1,18,Comm1,0.18627713682339705,0.004299999124369643,649
50,0.01,Comm1,19,Comm1,0.18897494635614273,0.0156458148720475,932
50,0.01,Comm1,20,Comm1,0.18222726097583414,0.02354757927916579,924
50,0.01,Comm1,21,Comm1,0.10933741868336615,6.076757889780905e-07,534
50,0.01,Comm1,22,Comm1,0.18500561446089192,0.018338168961851357,681
50,0.01,Comm1,23,Comm1,0.19457520613056284,0.054232871195603057,236
50,0.01,Comm1,24,Comm1,0.17765907720718202,0.003775212189550606,933
50,0.01,Comm1,25,Comm1,0.18292523948385828,0.0074998223281553,919
50,0.01,Comm1,26,Comm1,0.20225131050394224,0.6723591401182217,810
50,0.01,Comm1,27,Comm1,0.16303656927315796,0.0005122543965156073,986
50,0.01,Comm1,28,Comm1,0.15595786348016877,0.0001757165524915322,834
50,0.01,Comm1,29,Comm1,0.10320511374713129,6.81141043797689e-08,878
50,0.01,Comm1,30,Comm1,0.18492001829567842,0.033030038122920234,638
50,0.01,Comm1,31,Comm1,0.220525410542893,1.5823170307076626,682
50,0.01,Comm1,32,Comm1,0.21859847213069447,11.596999919600846,375
50,0.01,Comm1,33,Comm1,0.11263602574843158,5.306778052329603e-07,345
50,0.01,Comm1,34,Comm1,0.17728727394305352,0.004407905394155883,960
50,0.01,Comm1,35,Comm1,0.15513815654547553,4.639640927478726e-05,608
50,0.01,Comm1,36,Comm1,-0.0562393949960764,9.766415978790841e-15,322
50,0.01,Comm1,37,Comm1,0.04165380034519039,1.1916060470566795e-10,127
50,0.01,Comm1,38,Comm1,0.1629929640882766,0.0005850209566122225,557
50,0.01,Comm1,39,Comm1,0.2588447140103201,41.710845640403676,584
50,0.01,Comm1,40,Comm1,0.08631125238747919,4.708113142625391e-09,984
50,0.01,Comm1,41,Comm1,0.12735760560264697,1.450045119408344e-06,290
50,0.01,Comm1,42,Comm1,0.14376689096537199,5.947199597434434e-05,843
50,0.01,Comm1,43,Comm1,0.1615614973282085,0.0011777623315354373,233
50,0.01,Comm1,44,Comm1,0.15374797784636532,0.0006606136827021941,637
50,0.01,Comm1,45,Comm1,0.13791802037324935,5.663674966679751e-06,422
50,0.01,Comm1,46,Comm1,0.19846722960512023,0.47702713760145055,242
50,0.01,Comm1,47,Comm1,0.09687030287741638,5.628469428173381e-08,343
50,0.01,Comm1,48,Comm1,0.23989379305521233,9.101327771497232,823
50,0.01,Comm1,49,Comm1,0.20659408486189676,1.4347569798372986,468
50,0.01,Comm1,50,Comm1,0.14864527153370366,4.4321930768397785e-05,175
50,0.01,Comm1,51,Comm1,-0.014115255310796377,3.3907392698543126e-13,749
50,0.01,Comm1,52,Comm1,0.13459790934865704,1.1467398744280373e-06,431
50,0.01,Comm1,53,Comm1,0.04146346681116504,6.31965141387892e-11,31
50,0.01,Comm1,54,Comm1,0.20505600018374737,0.8820324810927657,310
50,0.01,Comm1,55,Comm1,0.22881853499851956,6.291672966202845,677
50,0.01,Comm1,56,Comm1,0.15170577525842813,0.00015588401460793914,674
50,0.01,Comm1,57,Comm1,0.1295936877607445,4.610543995250687e-06,944
50,0.01,Comm1,58,Comm1,0.15725390207041615,7.351517375743385e-05,82
50,0.01,Comm1,59,Comm1,0.20436360012612337,0.25163229224330896,694
50,0.01,Comm1,60,Comm1,0.023281794089054907,1.0562048223990391e-11,2
50,0.01,Comm1,61,Comm1,0.10799968809335271,8.593880549618054e-07,167
50,0.01,Comm1,62,Comm1,0.10613849173267777,9.99450014548684e-07,26
50,0.01,Comm1,63,Comm1,0.18724998847497273,0.1162319655909856,784
50,0.01,Comm1,64,Comm1,0.18618992950303145,0.0798841967138835,241
50,0.01,Comm1,65,Comm1,0.17003882096570785,0.0013121791973948038,945
50,0.01,Comm1,66,Comm1,0.13451229484615357,2.556313433001085e-06,579
50,0.01,Comm1,67,Comm1,0.20223315221935576,4.472046710477901,412
50,0.01,Comm1,68,Comm1,0.11509564937259897,8.263664600471982e-07,453
50,0.01,Comm1,69,Comm1,0.16251634403534942,0.00016165577245187755,371
50,0.01,Comm1,70,Comm1,-0.07970258119271263,2.145610536564569e-16,978
50,0.01,Comm1,71,Comm1,0.16163472923872935,0.00010745087288995015,687
50,0.01,Comm1,72,Comm1,0.10644290894640171,1.8204716150700615e-07,411
50,0.01,Comm1,73,Comm1,0.15376167732913829,1.6429062299228755e-05,357
50,0.01,Comm1,74,Comm1,0.21249863525220553,1.5529597289773533,122
50,0.01,Comm1,75,Comm1,0.11940098245464857,1.5208638682029164e-07,393
50,0.01,Comm1,76,Comm1,0.03568077575187207,2.128433280684601e-11,332
50,0.01,Comm1,77,Comm1,0.09471287345974896,1.6718347259638614e-07,97
50,0.01,Comm1,78,Comm1,0.1833810983865189,0.03286012155965812,968
50,0.01,Comm1,79,Comm1,0.11348213367071609,7.060401916468446e-07,690
50,0.01,Comm1,80,Comm1,0.13599159411261597,2.8111465694431215e-05,308
50,0.01,Comm1,81,Comm1,0.164078321220368,0.003956999355950263,585
